sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_contruction,illumination,1,2,1->2,500,500,347,329,328,500,0.9969604863221885,0.656,0.1965509722376863,0.9787234042553191,0.9969604863221885,0.9057750759878419,0.9726443768996961,0.9969604863221885,0.9969604863221885,1.0,1.0,0.025015999912284315,0.026469899923540652,0.0025523999938741326,0.0540382998296991
i_contruction,illumination,1,3,1->3,500,500,313,299,295,500,0.9866220735785953,0.59,0.21396063322975425,0.9749163879598662,0.9866220735785953,0.9063545150501672,0.9565217391304348,0.9866220735785953,1.0,1.0,1.0,0.025015999912284315,0.026441100053489208,0.0026055999333038926,0.054062699899077415
i_contruction,illumination,1,4,1->4,500,500,112,98,95,500,0.9693877551020408,0.19,5.346734774697366,0.9421768707482993,0.9693877551020408,0.7857142857142857,0.9591836734693877,0.9693877551020408,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.025015999912284315,0.026003199978731573,0.0023796999594196677,0.053398899850435555
i_contruction,illumination,1,5,1->5,500,500,26,21,15,500,0.7142857142857143,0.03,214.0505906796209,0.6587301587301587,0.7142857142857143,0.3333333333333333,0.6190476190476191,0.7142857142857143,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.025015999912284315,0.032174000050872564,0.002346099936403334,0.05953609989956021
i_contruction,illumination,1,6,1->6,500,500,15,7,2,500,0.2857142857142857,0.004,241.698681352407,0.4047619047619047,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.025015999912284315,0.029238899936899543,0.0023047999711707234,0.05655969982035458
i_crownday,illumination,1,2,1->2,500,500,16,13,9,500,0.6923076923076923,0.018,131.08889406690244,0.6666666666666666,0.6923076923076923,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.012708600028418005,0.014664100017398596,0.002540099900215864,0.029912799946032465
i_crownday,illumination,1,3,1->3,500,500,49,41,35,500,0.8536585365853658,0.07,19.781142960251376,0.8577235772357724,0.8536585365853658,0.7317073170731707,0.8048780487804879,0.8536585365853658,0.9024390243902439,0.926829268292683,0.926829268292683,0.012708600028418005,0.014905599993653595,0.0024559999583289027,0.030070199980400503
i_crownday,illumination,1,4,1->4,500,500,115,93,89,500,0.956989247311828,0.178,6.099620795709884,0.924731182795699,0.956989247311828,0.7526881720430108,0.9247311827956989,0.956989247311828,0.956989247311828,0.978494623655914,0.978494623655914,0.012708600028418005,0.01310019998345524,0.0023939000675454736,0.02820270007941872
i_crownday,illumination,1,5,1->5,500,500,144,116,113,500,0.9741379310344828,0.226,0.7069280252394267,0.9324712643678161,0.9741379310344828,0.6724137931034483,0.9482758620689655,0.9741379310344828,1.0,1.0,1.0,0.012708600028418005,0.012217900017276406,0.002448400016874075,0.027374900062568486
i_crownday,illumination,1,6,1->6,500,500,17,12,9,500,0.75,0.018,107.61883203750624,0.736111111111111,0.75,0.6666666666666666,0.75,0.75,0.75,0.75,0.75,0.012708600028418005,0.013161299983039498,0.0022883000783622265,0.02815820008981973
i_crownnight,illumination,1,2,1->2,500,500,51,46,46,500,1.0,0.092,0.698332060667655,0.9202898550724639,1.0,0.6304347826086957,0.8913043478260869,1.0,1.0,1.0,1.0,0.02093350002542138,0.02155299996957183,0.00241800001822412,0.04490450001321733
i_crownnight,illumination,1,3,1->3,500,500,35,29,28,500,0.9655172413793104,0.056,0.8451822365869602,0.9022988505747126,0.9655172413793104,0.6206896551724138,0.8275862068965517,0.9655172413793104,1.0,1.0,1.0,0.02093350002542138,0.018922600080259144,0.002379499957896769,0.042235600063577294
i_crownnight,illumination,1,4,1->4,500,500,23,21,20,500,0.9523809523809523,0.04,13.010741078352263,0.8492063492063493,0.9523809523809523,0.42857142857142855,0.8571428571428571,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.02093350002542138,0.019463300006464124,0.0024793000193312764,0.04287610005121678
