sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_bridger,illumination,1,2,1->2,10624,11175,1546,1504,1389,10624,0.9235372340425532,0.13074171686746988,15.051007535073035,0.8986037234042553,0.9235372340425532,0.7207446808510638,0.9009308510638298,0.9235372340425532,0.942154255319149,0.9501329787234043,0.9541223404255319,0.2953263999988849,0.21670300000187126,1.19435650000014,1.706385900000896
i_bridger,illumination,1,3,1->3,10624,9424,934,895,815,10624,0.9106145251396648,0.07671310240963855,20.701778608759078,0.8852886405959032,0.9106145251396648,0.7452513966480447,0.8916201117318435,0.9106145251396648,0.9162011173184358,0.9229050279329609,0.9251396648044693,0.2953263999988849,0.2030029999987164,0.9355896999986726,1.4339190999962739
i_bridger,illumination,1,4,1->4,10624,5119,632,573,488,10624,0.8516579406631762,0.04593373493975904,36.679310884315626,0.8423502036067481,0.8516579406631762,0.7102966841186736,0.8324607329842932,0.8516579406631762,0.8778359511343804,0.8900523560209425,0.8917975567190227,0.2953263999988849,0.16379089999827556,0.492014499999641,0.9511317999968014
i_bridger,illumination,1,5,1->5,10624,2057,286,217,143,10624,0.6589861751152074,0.013460090361445784,119.98250771278784,0.6497695852534563,0.6589861751152074,0.5207373271889401,0.631336405529954,0.6589861751152074,0.6866359447004609,0.7004608294930875,0.7004608294930875,0.2953263999988849,0.15142550000018673,0.1981244999988121,0.6448763999978837
i_bridger,illumination,1,6,1->6,10624,364,121,58,36,10624,0.6206896551724138,0.00338855421686747,215.40984332762298,0.6005747126436782,0.6206896551724138,0.4827586206896552,0.603448275862069,0.6206896551724138,0.6206896551724138,0.6379310344827587,0.6379310344827587,0.2953263999988849,0.1413624000015261,0.04150920000029146,0.47819800000070245
i_brooklyn,illumination,1,2,1->2,7614,8616,962,890,776,7614,0.8719101123595505,0.10191752035723667,30.523531979152146,0.850561797752809,0.8719101123595505,0.7089887640449438,0.8550561797752809,0.8719101123595505,0.8853932584269663,0.8898876404494382,0.8921348314606742,0.21132460000080755,0.20416250000198488,0.5973210999982257,1.0128082000010181
i_brooklyn,illumination,1,3,1->3,7614,6463,2390,2277,224,7614,0.09837505489679403,0.029419490412398212,9.446617606383299,0.4954618650270825,0.09837505489679403,0.004391743522178305,0.00922266139657444,0.09837505489679403,0.9481774264382961,0.9547650417215635,0.9578392621870883,0.21132460000080755,0.19229690000065602,0.44692270000086864,0.8505442000023322
i_brooklyn,illumination,1,4,1->4,7614,6522,407,336,225,7614,0.6696428571428571,0.02955082742316785,78.73476665219256,0.5004960317460317,0.6696428571428571,0.020833333333333332,0.05654761904761905,0.6696428571428571,0.7470238095238095,0.7529761904761905,0.7559523809523809,0.21132460000080755,0.2078012000019953,0.5432088000015938,0.9623346000043966
i_brooklyn,illumination,1,5,1->5,7614,6921,2659,2528,58,7614,0.022943037974683545,0.0076175466246388235,9.088936342815845,0.48154008438818563,0.022943037974683545,0.005537974683544304,0.006329113924050633,0.022943037974683545,0.9450158227848101,0.9533227848101266,0.9560917721518988,0.21132460000080755,0.20204459999877145,0.5395092999970075,0.9528784999965865
i_brooklyn,illumination,1,6,1->6,7614,8147,1012,933,36,7614,0.03858520900321544,0.004728132387706856,18.162104833177633,0.45748481600571633,0.03858520900321544,0.0021436227224008574,0.004287245444801715,0.03858520900321544,0.8906752411575563,0.9035369774919614,0.9056806002143623,0.21132460000080755,0.4356431000014709,0.5668976000015391,1.2138653000038175
i_castle,illumination,1,2,1->2,1628,1560,56,50,40,1628,0.8,0.02457002457002457,25.39191592041085,0.7799999999999999,0.8,0.68,0.76,0.8,0.8,0.82,0.82,0.0979869000002509,0.06993730000249343,0.03455339999709395,0.20247759999983828
i_castle,illumination,1,3,1->3,1628,1198,180,166,139,1628,0.8373493975903614,0.08538083538083538,21.948115323120014,0.8443775100401608,0.8373493975903614,0.7710843373493976,0.8313253012048193,0.8373493975903614,0.8674698795180723,0.8795180722891566,0.8795180722891566,0.0979869000002509,0.07349120000071707,0.021995800001604948,0.19347390000257292
i_castle,illumination,1,4,1->4,1628,686,136,125,101,1628,0.808,0.06203931203931204,32.96908500514682,0.7959999999999999,0.808,0.68,0.8,0.808,0.824,0.832,0.832,0.0979869000002509,0.07105129999763449,0.015584600001602666,0.18462279999948805
i_castle,illumination,1,5,1->5,1628,654,64,55,38,1628,0.6909090909090909,0.02334152334152334,50.202994479591986,0.693939393939394,0.6909090909090909,0.6181818181818182,0.6909090909090909,0.6909090909090909,0.7090909090909091,0.7272727272727273,0.7272727272727273,0.0979869000002509,0.06717769999886514,0.013799799999105744,0.17896439999822178
